id,change_percentage,index_name,period,price,sector_id,trade_date
2124,1.0010983,AllSharePriceIndex,W,513.5417,1,962906400000
2125,1.290528,AllSharePriceIndex,D,520.1691,1,963165600000
2126,-0.3991202,AllSharePriceIndex,D,518.093,1,963252000000
2127,-0.37836835,AllSharePriceIndex,D,516.1327,1,963338400000
2128,-0.7212486,AllSharePriceIndex,D,512.4101,1,963424800000
2129,-0.060322776,AllSharePriceIndex,W,512.101,1,963511200000
2130,0.0525287,AllSharePriceIndex,D,512.37,1,963770400000
2131,0.015906474,AllSharePriceIndex,D,512.4515,1,963856800000
2132,-0.23065597,AllSharePriceIndex,D,511.2695,1,963943200000
2133,-0.5733571,AllSharePriceIndex,D,508.3381,1,964029600000
2134,-0.030078407,AllSharePriceIndex,W,508.1852,1,964116000000
2135,0.1210779,AllSharePriceIndex,D,508.8005,1,964375200000
2136,-0.22857682,AllSharePriceIndex,D,507.6375,1,964461600000
2137,0.1440989,AllSharePriceIndex,D,508.369,1,964548000000
2138,0.28681922,AllSharePriceIndex,D,509.8271,1,964634400000
2139,0.50036573,AllSharePriceIndex,W,512.3781,1,964720800000
2140,-0.3329182,AllSharePriceIndex,M,510.6723,1,964980000000
2141,-0.07259058,AllSharePriceIndex,D,510.3016,1,965066400000
2142,0.25330117,AllSharePriceIndex,D,511.5942,1,965152800000
2143,-0.6917006,AllSharePriceIndex,D,508.0555,1,965239200000
2144,-0.3203784,AllSharePriceIndex,W,506.4278,1,965325600000
2145,-0.10678719,AllSharePriceIndex,D,505.887,1,965584800000
2146,-0.24890934,AllSharePriceIndex,D,504.6278,1,965671200000
2147,0.18992215,AllSharePriceIndex,D,505.5862,1,965757600000
2148,-0.0060128225,AllSharePriceIndex,D,505.5558,1,965844000000
2149,0.047630746,AllSharePriceIndex,W,505.7966,1,965930400000
2150,-0.52208734,AllSharePriceIndex,D,503.1559,1,966276000000
2151,-1.0319266,AllSharePriceIndex,D,497.9637,1,966362400000
2152,-0.47196212,AllSharePriceIndex,D,495.6135,1,966448800000
2153,-0.028126756,AllSharePriceIndex,W,495.4741,1,966535200000
2154,0.05972058,AllSharePriceIndex,D,495.77,1,966794400000
2155,-0.16251488,AllSharePriceIndex,D,494.9643,1,966880800000
2156,0.42663684,AllSharePriceIndex,D,497.076,1,966967200000
2157,0.2519333,AllSharePriceIndex,D,498.3283,1,967053600000
2158,1.2546949,AllSharePriceIndex,W,504.5808,1,967140000000
2159,-0.17099343,AllSharePriceIndex,D,503.718,1,967399200000
2160,-0.3841435,AllSharePriceIndex,D,501.783,1,967485600000
