id,close,high,low,open,share_volume,symbol,trade_date,trade_volume,turnover
5048,10.5,19.5,9,9,336000,UDPL.N0000,1135792800000,590,4842200
5049,9,13.75,7.5,10.5,220300,UDPL.N0000,1103565600000,291,2452325
5050,10.25,13.5,6.75,8.25,14797790,UDPL.N0000,1072202400000,1085,150609350
5051,8.5,10.5,6.25,10.5,1325400,UDPL.N0000,1040925600000,993,11719275
5052,11,18.5,5.75,10.5,2769500,UDPL.N0000,1009735200000,1336,23154175
5053,10.5,26,10.5,23.25,733500,UDPL.N0000,977853600000,1193,12722125
5054,19,22.7,16.8,18.8,6826493,RHL.N0000,1740681000000,1643,136896388.9
5055,18.4,20.3,11.9,12.9,27433858,RHL.N0000,1735583400000,4535,484026474.6
5056,12.7,17.7,11.8,13.8,12566566,RHL.N0000,1703788200000,3697,183407930
5057,13.8,23,8.3,19.3,52090145,RHL.N0000,1672338600000,11714,880045255.4
5058,19.4,23,13,15,78622442,RHL.N0000,1640889000000,15733,1421727439.8
5059,15,19.8,10.5,18.4,11229867,RHL.N0000,1609353000000,4643,175268311.1
5060,19.3,20.5,12.5,16.7,6043676,RHL.N0000,1577730600000,2777,102293844.6
5061,16.6,24.9,14,23,6053244,RHL.N0000,1546194600000,906,122901928.2
5062,24,28,17.1,22.4,15861988,RHL.N0000,1514485800000,1868,395980195
5063,21.1,27.9,18.5,27.5,6342846,RHL.N0000,1483036200000,2286,156909681.8
5064,26.9,36.7,26.3,31.4,20939483,RHL.N0000,1451500200000,7250,666830238.5
5065,31.5,43,26.6,30.5,15480167,RHL.N0000,1419964200000,6717,537241859.7
5066,30.6,41.9,27.1,37.7,3819189,RHL.N0000,1388428200000,2683,127234825.2
5067,36.1,55,23.5,55,6814625,RHL.N0000,1356892200000,3415,268361077.5
5068,53.9,87.2,48.4,63.1,23585300,RHL.N0000,1325183400000,10126,1655036950
5069,61.9,140,25,140,42068100,RHL.N0000,1293733800000,16340,1726177340
5070,135.75,144,40,40,2138400,RHL.N0000,1262111400000,3037,224913250
5071,40.25,100,38,50,443800,RHL.N0000,1229279400000,395,23339925
5072,68,72.1,52,55,12210101,JINS.N0000,1740681000000,5325,762002671.4
5073,55,57.4,32.1,38.5,43062468,JINS.N0000,1735583400000,23543,2064772108.4
5074,38.5,55,23.4,32,24978874,JINS.N0000,1703788200000,10714,968295326.3
5075,31.7,36,18.5,28.6,16604825,JINS.N0000,1672338600000,6644,486066835.1
5076,30.7,32.5,23.4,30,18027236,JINS.N0000,1640889000000,9673,509013252.6
5077,30,34.6,19.1,32.4,19666393,JINS.N0000,1609353000000,9610,598597089
5078,32.5,40,22,31,42537319,JINS.N0000,1577730600000,15629,1259972791.5
5079,30,33.5,15.7,15.9,127775421,JINS.N0000,1546194600000,23313,3311998768.3
5080,15.7,17,14.8,16.3,24453149,JINS.N0000,1514485800000,6288,388260272.9
5081,16.4,18.7,14.2,17.6,23034017,JINS.N0000,1483036200000,7846,384869488.2
5082,17.5,25.9,17,23.4,41468125,JINS.N0000,1451500200000,12181,926306049.4
5083,23.2,25.1,12.7,12.7,139745057,JINS.N0000,1419964200000,20210,2600217638.4
5084,12.7,14.6,10.5,10.5,49388704,JINS.N0000,1388428200000,9900,642611515.1
5085,10.5,15.4,8.9,15.2,28559200,JINS.N0000,1356892200000,10096,333543898.3
5086,15,22.1,13,15.8,161394300,JINS.N0000,1325183400000,33253,2944191650
5087,16,18.4,9.75,9.75,260957100,JINS.N0000,1293733800000,35050,3807394400
5088,9.5,13.75,5.75,5.75,90848000,JINS.N0000,1262111400000,14977,904009425
5089,5.75,13.5,5.5,13.5,25139000,JINS.N0000,1230661800000,5020,269958925
5090,1425.25,1600,1310.25,1374,86540,CINS.X0000,1740681000000,555,126288745
5091,1374.25,1445,780,820.25,2275073,CINS.X0000,1735583400000,3497,1952575388.25
5092,820,1189.75,811,1049.75,552507,CINS.X0000,1703788200000,3521,477905089
5093,1026.75,1525,900,1160,279343,CINS.X0000,1672252200000,1152,359147342.5
5094,1197,1498.75,900,1002.5,328177,CINS.X0000,1640889000000,2645,331641620.2
5095,1021.8,1100,700,860,135878,CINS.X0000,1609353000000,1249,113257106.5
5096,840,1029.9,600,950,635718,CINS.X0000,1577730600000,1330,441973045.9
5097,950,1078.8,825,830,534842,CINS.X0000,1546194600000,839,509489077.7
5098,825.1,950,720,750,72718,CINS.X0000,1514313000000,670,60703553.7
5099,730,998,700,880,129989,CINS.X0000,1482863400000,516,95723533.3
5100,800,850,500,559,589639,CINS.X0000,1451500200000,798,388378739.2
5101,550,598,395,400,770878,CINS.X0000,1419964200000,1074,385870191
5102,398.8,430,220,337.9,659380,CINS.X0000,1388428200000,1149,240871568.7
5103,330.5,350,200.2,301.1,165000,CINS.X0000,1356892200000,699,50896910.5
5104,343,369.9,257.2,260,1930100,CINS.X0000,1325097000000,1774,614952600
5105,270,475,132,132,2740700,CINS.X0000,1293733800000,1700,483139000
5106,134.25,140,65,125,722800,CINS.X0000,1262111400000,761,82101550
5107,142.25,175,90,175,180300,CINS.X0000,1230661800000,419,27050300
5108,5.5,6.3,5.4,5.9,5598569,CRL.N0000,1740681000000,1005,33739585.9
5109,5.9,7,4.9,5.8,10258120,CRL.N0000,1735583400000,2718,59637351.3
