,symbol,year,voting_div_per_share,close,dividend_yield
626,SHAW,2022,1.0,93.1,1.0741138560687433
633,SHAW,2023,1.0,89.4,1.1185682326621922
529,SHAW,2024,1.5,73.0,2.054794520547945
718,SHL,2019,0.5,,
632,SIL,2020,1.0,81.3,1.2300123001230012
460,SIL,2021,2.0,158.25,1.263823064770932
467,SIL,2022,2.0,200.25,0.9987515605493134
465,SIL,2023,2.0,216.0,0.9259259259259258
646,SINI,2020,0.92,,
549,SINS,2020,1.25,34.7,3.602305475504323
558,SINS,2021,1.2,59.1,2.030456852791878
738,SINS,2022,0.4,25.3,1.5810276679841897
700,SINS,2024,0.58,12.2,4.754098360655737
786,SIRA,2020,0.2,3.4,5.882352941176471
58,SLND,2019,25.0,,
56,SLND,2020,25.0,1300.0,1.9230769230769231
61,SLND,2021,25.0,1812.5,1.3793103448275863
63,SLND,2022,25.0,2001.75,1.2489072061945798
60,SLND,2023,25.0,1263.75,1.9782393669634024
59,SLND,2024,25.0,1300.0,1.9230769230769231
579,SLTL,2020,1.06,31.0,3.4193548387096775
531,SLTL,2021,1.49,36.5,4.082191780821918
291,SLTL,2022,4.04,41.6,9.711538461538462
777,SLTL,2023,0.25,65.1,0.3840245775729647
237,SMOT,2024,5.0,179.75,2.781641168289291
279,SOY,2019,4.5,,
220,SOY,2020,5.5,400.0,1.375
137,SOY,2021,10.0,1197.7,0.8349336227769892
328,SOY,2022,3.5,1300.0,0.2692307692307692
264,SOY,2023,4.7,1309.75,0.3588471082267608
266,SOY,2024,4.7,970.0,0.48453608247422686
548,SPEN,2020,1.25,46.0,2.717391304347826
614,SPEN,2021,1.0,57.9,1.7271157167530224
296,SPEN,2022,4.0,86.0,4.651162790697675
161,SPEN,2023,8.0,127.0,6.299212598425196
155,SPEN,2024,8.5,115.0,7.391304347826087
666,SUN,2020,0.75,47.0,1.5957446808510638
476,SUN,2021,2.0,80.0,2.5
713,SUN,2022,0.5,69.5,0.7194244604316548
427,SUN,2023,2.15,35.0,6.142857142857142
321,SUN,2024,3.5,53.1,6.591337099811676
616,SWAD,2019,1.0,,
617,SWAD,2020,1.0,14900.0,0.006711409395973153
618,SWAD,2021,1.0,18324.8,0.005457085479786955
615,SWAD,2022,1.0,15003.5,0.006665111473989403
515,SWAD,2023,1.5,15003.5,0.009997667210984103
507,SWAD,2024,1.5,15003.5,0.009997667210984103
119,TAFL,2020,11.0,123.9,8.878127522195319
79,TAFL,2021,16.5,187.5,8.799999999999999
130,TAFL,2022,10.0,324.5,3.0816640986132513
108,TAFL,2023,12.0,125.5,9.56175298804781
28,TAFL,2024,41.0,232.0,17.67241379310345
42,TAFL,2025,30.0,293.75,10.212765957446807
619,TANG,2019,1.0,,
307,TILE,2020,3.85,76.4,5.039267015706806
78,TILE,2021,17.5,174.75,10.014306151645208
315,TILE,2022,3.7,124.0,2.9838709677419355
170,TILE,2023,7.6,45.3,16.777041942604857
218,TILE,2024,5.7,43.3,13.163972286374134
489,TILE,2025,1.7,57.0,2.982456140350877
571,TJL,2019,1.1,,
539,TJL,2020,1.3,40.0,3.25
371,TJL,2021,2.8,38.7,7.235142118863049
404,TJL,2022,2.35,49.9,4.709418837675352
669,TJL,2023,0.75,31.6,2.373417721518987
664,TJL,2024,0.75,37.5,2.0
661,TJL,2025,0.75,50.9,1.4734774066797642
756,TKYO,2019,0.3,,
502,TKYO,2020,1.5,48.0,3.125
503,TKYO,2020,1.5,39.6,3.787878787878788
430,TKYO,2021,2.1,77.0,2.7272727272727275
431,TKYO,2021,2.1,69.7,3.012912482065997
500,TKYO,2023,1.5,33.4,4.491017964071856
501,TKYO,2023,1.5,26.0,5.769230769230769
445,TKYO,2024,2.0,47.0,4.25531914893617
446,TKYO,2024,2.0,37.3,5.361930294906166
189,TPL,2020,6.75,50.0,13.5
426,TPL,2021,2.15,72.0,2.9861111111111107
104,TPL,2022,13.0,57.6,22.569444444444446
53,TPL,2023,26.85,97.1,27.6519052523172
121,TPL,2024,10.75,107.0,10.046728971962617
715,TRAN,2020,0.5,69.7,0.7173601147776184
499,TSML,2021,1.5,34.6,4.335260115606936
605,TSML,2022,1.0,36.8,2.717391304347826
191,TSML,2023,6.67,51.7,12.901353965183752
782,TSML,2025,0.21,44.4,0.472972972972973
389,TYRE,2019,2.5,,
259,TYRE,2020,5.0,47.2,10.59322033898305
257,TYRE,2021,5.0,94.0,5.319148936170213
254,TYRE,2022,5.0,106.5,4.694835680751173
255,TYRE,2023,5.0,57.9,8.635578583765112
202,TYRE,2024,6.0,62.1,9.66183574879227
69,UAL,2020,20.0,319.5,6.259780907668231
96,UAL,2021,14.0,312.0,4.487179487179487
66,UAL,2022,22.0,309.25,7.113985448666129
150,UAL,2024,8.75,39.5,22.151898734177212
256,UAL,2025,5.0,61.8,8.090614886731393
806,UBC,2020,0.14,12.9,1.0852713178294575
807,UBC,2021,0.13,15.7,0.8280254777070064
144,UCAR,2019,9.0,,
51,UCAR,2020,27.0,400.0,6.75
49,UCAR,2021,29.0,801.7,3.617313209429961
62,UCAR,2022,25.0,900.0,2.7777777777777777
38,UCAR,2023,35.0,543.0,6.445672191528545
6,UCAR,2024,81.0,650.0,12.461538461538462
522,UML,2020,1.5,63.9,2.3474178403755865
584,UML,2021,1.0,79.9,1.2515644555694618
441,UML,2022,2.0,99.3,2.014098690835851
416,UML,2023,2.25,59.6,3.7751677852348995
344,UML,2024,3.0,60.9,4.926108374384237
203,VFIN,2021,6.0,67.6,8.875739644970416
440,VFIN,2022,2.0,42.3,4.728132387706856
583,VFIN,2023,1.0,22.0,4.545454545454546
448,VFIN,2024,2.0,31.9,6.269592476489029
808,VLL,2019,0.13,,
783,VLL,2020,0.2,4.9,4.081632653061225
751,VLL,2021,0.3,5.9,5.084745762711864
752,VLL,2021,0.3,4.4,6.8181818181818175
823,VLL,2022,0.1,8.0,1.25
824,VLL,2022,0.1,5.8,1.7241379310344827
725,VLL,2023,0.46,6.0,7.666666666666668
726,VLL,2023,0.46,4.3,10.697674418604652
657,VLL,2024,0.8,6.8,11.764705882352942
658,VLL,2024,0.8,5.1,15.686274509803924
