id,agm,announcement_category,anu_category_id,approved_date,company,created_date,date_of_announcement,final_dividend,first_and_final,group_key,is_new,non_voting_div_per_share,payment,record_date,remarks,sec_id,symbol,type_first_int,type_fourth_int,type_other,type_second_int,type_third_int,voting_div_per_share,xc,xd
9612,28-06-2021,CASH DIVIDEND,5,1620734723662,HAYLEYS FABRIC PLC,11-05-2021 05:35:23 PM,11-05-2021,true,false,CASH DIVIDEND,true,0,09-07-2021,,Final Dividend for the year ended 31.03.2021,403,MGT,false,false,false,false,false,0.1,,29-06-2021
9620,,CASH DIVIDEND,5,1620814596458,CHEVRON LUBRICANTS LANKA PLC,12-05-2021 03:46:36 PM,12-05-2021,false,false,CASH DIVIDEND,true,,04-06-2021,,,668,LLUB,true,false,false,false,false,5,,24-05-2021
9621,25-06-2021,CASH DIVIDEND,5,1620814935841,KELANI VALLEY PLANTATIONS PLC,12-05-2021 03:52:15 PM,12-05-2021,true,false,CASH DIVIDEND,true,,13-07-2021,,,712,KVAL,false,false,false,false,false,1.5,,28-06-2021
9628,29-06-2021,CASH DIVIDEND,5,1620819528756,HAYLEYS FIBRE PLC,12-05-2021 05:08:48 PM,12-05-2021,true,false,CASH DIVIDEND,true,,14-07-2021,,FINAL DIVIDEND FOR THE YEAR 2020/21,768,HEXP,false,false,false,false,false,1.75,,30-06-2021
9631,25-06-2021,CASH DIVIDEND,5,1620901401679,TALAWAKELLE TEA ESTATES  PLC,13-05-2021 03:53:21 PM,13-05-2021,true,false,CASH DIVIDEND,true,,13-07-2021,,Final Dividend for 2020/21,726,TPL,false,false,false,false,false,1.5,,28-06-2021
9635,,CASH DIVIDEND,5,1621220572267,CEYLON TOBACCO COMPANY PLC,17-05-2021 08:32:52 AM,14-05-2021,false,false,CASH DIVIDEND,true,,10-06-2021,,,460,CTC,true,false,false,false,false,19,,28-05-2021
9650,22-07-2021,CASH DIVIDEND,5,1621245876736,PIRAMAL GLASS CEYLON  PLC,17-05-2021 03:34:36 PM,17-05-2021,false,true,CASH DIVIDEND,true,,03-08-2021,,Announcement of Declaring Dividend and Date of the AGM,666,GLAS,false,false,false,false,false,0.58,,26-07-2021
9652,,CASH DIVIDEND,5,1621248294457,CEYLON HOSPITALS PLC (DURDANS),17-05-2021 04:14:54 PM,17-05-2021,false,false,CASH DIVIDEND,true,3.2,14-06-2021,,Interim dividend of Rs.3.20 per share for Voting and Non-Voting shares for the year ended 31 March 2021.  Approval of shareholders is not required.,514,CHL,true,false,false,false,false,3.2,,28-05-2021
9653,,CASH DIVIDEND,5,1621251567528,SINGER (SRI LANKA) PLC,17-05-2021 05:09:27 PM,17-05-2021,true,false,CASH DIVIDEND,true,0,08-06-2021,,FINAL DIVIDEND OF RS. 0.25 PER SHARE FOR 2020/21,772,SINS,false,false,false,false,false,0.25,,28-05-2021
9661,,CASH DIVIDEND,5,1621331211234,KEELLS FOOD PRODUCTS PLC,18-05-2021 03:16:51 PM,18-05-2021,true,false,CASH DIVIDEND,true,,18-06-2021,,,483,KFP,false,false,false,false,false,2.5,,31-05-2021
9662,,CASH DIVIDEND,5,1621331281228,CEYLON COLD STORES PLC,18-05-2021 03:18:01 PM,18-05-2021,true,false,CASH DIVIDEND,true,,18-06-2021,,,462,CCS,false,false,false,false,false,4,,31-05-2021
9664,29-06-2021,CASH DIVIDEND,5,1621332652720,DIPPED PRODUCTS PLC,18-05-2021 03:40:52 PM,18-05-2021,true,false,CASH DIVIDEND,true,,09-07-2021,,,670,DIPD,false,false,false,false,false,0.6,,30-06-2021
9665,25-06-2021,CASH DIVIDEND,5,1621393783524,HAYCARB PLC,19-05-2021 08:39:43 AM,19-05-2021,true,false,CASH DIVIDEND,true,0,12-07-2021,,,494,HAYC,false,false,false,false,false,0.5,,28-06-2021
9675,,CASH DIVIDEND,5,1621424091621,ACCESS ENGINEERING PLC,19-05-2021 05:04:51 PM,19-05-2021,false,false,CASH DIVIDEND,true,,21-06-2021,,2nd Interim Dividend for the year ended 31st March 2021,1141,AEL,false,false,false,true,false,0.5,,01-06-2021
9700,30-06-2021,CASH DIVIDEND,5,1621566808256,CHEMANEX PLC,21-05-2021 08:43:28 AM,21-05-2021,true,false,CASH DIVIDEND,true,,22-07-2021,,Announcement of Final Dividend of Rs.1/- per share for the period ended 31st March 2021,492,CHMX,false,false,false,false,false,1,,01-07-2021
9705,30-06-2021,CASH DIVIDEND,5,1621588279432,HEMAS HOLDINGS PLC,21-05-2021 02:41:19 PM,21-05-2021,true,false,CASH DIVIDEND,true,,22-07-2021,,,506,HHL,false,false,false,false,false,1.45,,01-07-2021
9708,,CASH DIVIDEND,5,1621588628732,JOHN KEELLS PLC,21-05-2021 02:47:08 PM,21-05-2021,true,false,CASH DIVIDEND,true,,23-06-2021,,,731,JKL,false,false,false,false,false,2.29,,03-06-2021
9724,23-06-2021,CASH DIVIDEND,5,1621595322834,DIALOG AXIATA PLC,21-05-2021 04:38:42 PM,21-05-2021,true,false,CASH DIVIDEND,true,,15-07-2021,,,389,DIAL,false,false,false,false,false,0.74,,25-06-2021
9728,30-06-2021,CASH DIVIDEND,5,1621595271913,CIC HOLDINGS PLC,21-05-2021 04:37:51 PM,21-05-2021,true,false,CASH DIVIDEND,true,1.25,22-07-2021,,Dividend Announcement,493,CIC,false,false,false,false,false,1.25,,01-07-2021
9731,30-06-2021,CASH DIVIDEND,5,1621830500311,AITKEN SPENCE PLC,24-05-2021 09:58:20 AM,21-05-2021,false,true,CASH DIVIDEND,true,,22-07-2021,,,501,SPEN,false,false,false,false,false,1,,01-07-2021
9756,,CASH DIVIDEND,5,1621853485418,JOHN KEELLS HOLDINGS PLC,24-05-2021 04:21:25 PM,24-05-2021,true,false,CASH DIVIDEND,true,,25-06-2021,,,508,JKH,false,false,false,false,false,0.5,,04-06-2021
9760,25-06-2021,CASH DIVIDEND,5,1621857997246,WATAWALA PLANTATIONS PLC,24-05-2021 05:36:37 PM,24-05-2021,true,false,CASH DIVIDEND,true,,15-07-2021,,Final Dividend for the year ended 31st March 2021 ,728,WATA,false,false,false,false,false,3,,28-06-2021
